,Shipment Number,ATF Port Dep 1 Date,ATF Port Dep 1 Yr/Week,Operational plan Port Dep 1 Yr/Week,FFE,TON,Booking Create Date,Booking Status,Receipt Service Mode,Delivery Service Mode,Cargo Type,Container Type,Container Size,String,String Direction,POR Site Code,POR Country Code,POR Cluster Code,POR Region Code,POD Country Code,POD Cluster Code,POD Region Code,LOPFI Site Code,LOPFI Country Code,LOPFI Region Code,LOPFI Cluster Code,DIPLA Site Code,DIPLA Country Code,DIPLA Cluster Code,DIPLA Region Code,Est Trans days,Atf Trans days
6399,552017430,9/17/2010,2010/37,2010/37,6,87031,08/11/2010,Active,CY,CY,DRY,OPEN,40,FEAEUR680,E  ,SEGOT01 ,SE,SCA,NEU,CN,PRE,NAS,SEGOT01,SE,NEU,SCA,CNSGHY1,CN,PRE,NAS,996.0,924.0
6400,552017478,9/19/2010,2010/37,2010/37,15,55557,08/11/2010,Active,CY,CY,DRY,DRY,20,OCEEUR888,S  ,NLROT01 ,NL,NLC,NEU,NZ,NZC,APA,NLROT01,NL,NEU,NLC,NZAKLTM,NZ,NZC,APA,249.0,199.0
6401,552017508,9/14/2010,2010/37,2010/37,2,97356,08/11/2010,Active,CY,CY,DRY,DRY,20,SAFFEA160,W  ,MYLPKTM ,MY,MYC,APA,ZA,SAF,AFR,MYLPKTM,MY,APA,MYC,ZAPLZ02,ZA,SAF,AFR,216.0,171.0
6402,552017516,9/8/2010,2010/36,2010/36,1,2477,08/11/2010,Active,SD,CY,DRY,DRY,40,OCEEUR888,S  ,        ,FR,FRC,NEU,AU,AUC,APA,BEANTDGD,BE,NEU,BEC,AUSYD11,AU,AUC,APA,83.0,
6403,552017521,9/3/2010,2010/35,2010/35,1,10282,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR621,W  ,CNXIMSY ,CN,PRE,NAS,ES,IBE,MED,CNXIMSY,CN,NAS,PRE,ESBCN07,ES,IBE,MED,87.0,69.0
6404,552017542,9/4/2010,2010/35,2010/35,1,15989,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR418,W  ,CNYATCT ,CN,PRS,NAS,DE,DEC,NEU,CNYATCT,CN,NAS,PRS,DEHAMBK,DE,DEC,NEU,82.0,68.0
6405,552017544,9/4/2010,2010/35,2010/35,1,24699,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR418,W  ,CNYATCT ,CN,PRS,NAS,DE,DEC,NEU,CNYATCT,CN,NAS,PRS,DEHAMBK,DE,DEC,NEU,82.0,68.0
6406,552017550,9/3/2010,2010/35,2010/35,5,22212,08/11/2010,Active,CY,CY,DRY,DRY,20,EUREUR42N,S  ,BEANTDGD,BE,BEC,NEU,MA,MGB,MED,BEANTDGD,BE,NEU,BEC,MACASTM,MA,MGB,MED,88.0,42.0
6407,552017559,9/5/2010,2010/35,2010/35,5,7333,08/11/2010,Active,CY,CY,DRY,DRY,20,FEAEUR400,E  ,DEBRVTM ,DE,DEC,NEU,TW,TWC,NAS,DEBRVTM,DE,NEU,DEC,TWKAOOD,TW,TWC,NAS,71.0,56.0
6408,552017573,9/2/2010,2010/35,2010/35,1,17665,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR680,E  ,DEBRVTM ,DE,DEC,NEU,HK,PRS,NAS,DEBRVTM,DE,NEU,DEC,HKHKGMO,HK,PRS,NAS,64.0,59.0
6409,552017574,9/4/2010,2010/35,2010/35,1,1252,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAWNA750,E  ,CNYATCT ,CN,PRS,NAS,US,USC,NAM,CNYATCT,CN,NAS,PRS,USSEA18,US,USC,NAM,78.0,49.0
6410,552017583,9/7/2010,2010/36,2010/36,997,5502,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM811,,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,581.0,350.0
6411,552017585,9/1/2010,2010/35,2010/35,5,2866,08/11/2010,Active,CY,CY,DRY,DRY,20,OCEEUR888,S  ,DEBRVTM ,DE,DEC,NEU,AU,AUC,APA,DEBRVTM,DE,NEU,DEC,AUSYD11,AU,AUC,APA,73.0,74.0
6412,552017587,9/7/2010,2010/36,2010/36,998,616,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM811,,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,332.0,196.0
6413,552017590,9/6/2010,2010/36,2010/36,1,4831,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,HKHKGMO ,HK,PRS,NAS,US,USC,NAM,HKHKGMO,HK,NAS,PRS,USLSATM,US,USC,NAM,65.0,33.0
6414,552017599,7/11/2010,2010/27,2010/35,1,10447,08/11/2010,Active,SD,CY,DRY,DRY,40,MEANEU403,E  ,        ,PL,ECE,NEU,QA,AEC,WCA,PLGDNDCT,PL,NEU,ECE,QADOHTM,QA,AEC,WCA,69.0,
6415,552017599,9/1/2010,2010/35,2010/35,6,55212,08/11/2010,Active,SD,CY,DRY,DRY,40,MEANEU403,E  ,        ,PL,ECE,NEU,QA,AEC,WCA,PLGDNDCT,PL,NEU,ECE,QADOHTM,QA,AEC,WCA,414.0,435.0
6416,552017606,9/13/2010,2010/37,2010/37,1,14672,08/11/2010,Active,CY,CY,DRY,DRY,40,MEAMED888,E  ,ITGOA11 ,IT,ITC,MED,SA,SAC,WCA,ITGOA11,IT,MED,ITC,SAJEDRGT,SA,SAC,WCA,46.0,21.0
6417,552017620,9/17/2010,2010/37,2010/37,5,2348,08/11/2010,Active,CY,CY,DRY,DRY,20,CAMFEA691,E  ,JPNGO05 ,JP,JPC,NAS,CU,CAR,LAM,JPNGO05,JP,NAS,JPC,CUHAV30P,CU,CAR,LAM,109.0,103.0
6418,552017630,9/3/2010,2010/35,2010/35,1,19147,08/11/2010,Active,CY,CY,DRY,DRY,40,MEANEU403,W  ,INNDACF ,IN,INC,WCA,DE,DEC,NEU,INPPVTM,IN,WCA,INC,DEBRVTM,DE,DEC,NEU,73.0,61.0
6419,552017681,9/14/2010,2010/37,2010/37,1,36668,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INJHTTM,IN,INC,WCA,122.0,86.0
6420,552017682,9/14/2010,2010/37,2010/37,5,18334,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INJHTTM,IN,INC,WCA,61.0,51.0
6421,552017683,9/14/2010,2010/37,2010/37,5,18334,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INJHTTM,IN,INC,WCA,61.0,48.0
6422,552017684,9/14/2010,2010/37,2010/37,5,18334,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INJHTTM,IN,INC,WCA,61.0,51.0
6423,552017686,9/14/2010,2010/37,2010/37,5,18334,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INJHTTM,IN,INC,WCA,61.0,46.0
6424,552017687,9/16/2010,2010/37,2010/37,2,56,08/11/2010,Active,CY,CY,DRY,DRY,40,MEAMED888,W  ,SAJEDTM ,SA,SAC,WCA,MT,ITC,MED,SAJEDTM,SA,WCA,SAC,MTJMWTM,MT,ITC,MED,174.0,120.0
6425,552017688,9/14/2010,2010/37,2010/37,5,18334,08/11/2010,Active,CY,CY,DRY,DRY,20,MEAMEA888,R  ,SADAMTM ,SA,SAC,WCA,IN,INC,WCA,SADAMTM,SA,WCA,SAC,INPPVTM,IN,INC,WCA,66.0,38.0
6426,552017689,9/14/2010,2010/37,2010/37,2,56,08/11/2010,Active,CY,CY,DRY,DRY,40,OCEEUR888,S  ,SADAMTM ,SA,SAC,WCA,NZ,NZC,APA,SADAMTM,SA,WCA,SAC,NZAKLTM,NZ,NZC,APA,154.0,114.0
6427,552017705,9/3/2010,2010/35,2010/35,1,6345,08/11/2010,Active,CY,CY,DRY,DRY,40,SAFFEA160,W  ,CNXIMSY ,CN,PRE,NAS,,SAF,AFR,CNXIMSY,CN,NAS,PRE,NAWBATM,,SAF,AFR,104.0,166.0
6428,552017708,9/9/2010,2010/36,2010/36,1,15672,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAEUR412,W  ,MYTPPTM ,MY,MYC,APA,GB,GBC,NEU,MYTPPTM,MY,APA,MYC,GBBFSTM,GB,GBC,NEU,72.0,55.0
6429,552017727,9/7/2010,2010/36,2010/36,4,111444,08/11/2010,Active,CY,CY,DRY,DRY,40,FEAMEA888,E  ,SAJEDTM ,SA,SAC,WCA,VN,VNC,APA,SAJEDTM,SA,WCA,SAC,VNSGNCL,VN,VNC,APA,244.0,124.0
6430,552017747,9/1/2010,2010/35,2010/35,1,14096,08/11/2010,Active,CY,CY,DRY,DRY,40,MEANEU403,W  ,INNDACF ,IN,INC,WCA,LV,RUC,NEU,INJHTTM,IN,WCA,INC,LVRIXTM,LV,RUC,NEU,70.0,60.0
6431,552017762,9/4/2010,2010/35,2010/35,2,12027,08/11/2010,Active,SD,SD,DRY,DRY,40,NEUNAM891,W  ,        ,DE,DEC,NEU,US,USC,NAM,DEBRVTM,DE,NEU,DEC,USNWKSL,US,USC,NAM,116.0,102.0
6432,552017812,9/7/2010,2010/36,2010/36,1,4558,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,CNYATCT ,CN,PRS,NAS,US,USC,NAM,CNYATCT,CN,NAS,PRS,USLSATM,US,USC,NAM,95.0,57.0
6433,552017814,9/7/2010,2010/36,2010/36,1,4992,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,CNYATCT ,CN,PRS,NAS,US,USC,NAM,CNYATCT,CN,NAS,PRS,USLSATM,US,USC,NAM,95.0,57.0
6434,552017818,9/7/2010,2010/36,2010/36,1,7312,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,CNYATCT ,CN,PRS,NAS,US,USC,NAM,CNYATCT,CN,NAS,PRS,USLSATM,US,USC,NAM,95.0,60.0
6435,552017820,9/7/2010,2010/36,2010/36,1,7312,08/11/2010,Active,CY,CY,DRY,DRY,40,FEANAM621,E  ,CNYATCT ,CN,PRS,NAS,US,USC,NAM,CNYATCT,CN,NAS,PRS,USLSATM,US,USC,NAM,95.0,59.0
6436,552017838,9/7/2010,2010/36,2010/36,1,6281,08/11/2010,Active,CY,CY,REEF,REEF,40,MEDNAM602,W  ,ILASDPT ,IL,ILC,MED,US,USC,NAM,ILASDPT,IL,MED,ILC,USNWKSL,US,USC,NAM,60.0,59.0
6437,552017845,9/1/2010,2010/35,2010/35,5,22167,08/11/2010,Active,CY,CY,DRY,TANK,20,FEAEUR410,E  ,NLROT01 ,NL,NLC,NEU,JP,JPC,NAS,NLROT01,NL,NEU,NLC,JPTYO04,JP,JPC,NAS,,
6438,552017846,9/3/2010,2010/35,2010/35,25,113919,08/11/2010,Active,CY,CY,DRY,DRY,20,MEANEU403,E  ,NLROT01 ,NL,NLC,NEU,AE,AEC,WCA,NLROT01,NL,NEU,NLC,AEJALTM,AE,AEC,WCA,235.0,149.0
6439,552017872,9/3/2010,2010/35,2010/35,1,20844,08/11/2010,Active,CY,CY,DRY,DRY,40,NEUCAN888,W  ,DEBRVTM ,DE,DEC,NEU,CA,USC,NAM,DEBRVTM,DE,NEU,DEC,CAMONCT,CA,USC,NAM,73.0,55.0
6440,552017873,9/3/2010,2010/35,2010/35,10,476173,08/11/2010,Active,CY,SD,DRY,DRY,20,EUREUR43C,S  ,NOKRSTM ,NO,SCA,NEU,GR,GRC,MED,NOKRSTM,NO,NEU,SCA,GRPIRTM,GR,GRC,MED,1100.0,1050.0
